L_fuse,W_total,Stall_Speed,Max_Speed,ROC_Stall,SM_0,SM_dry,Result
4.541,19.536924824929,50.6916012235331,212.432432432432,73.2644174462041,0.0674606785397126,0.00477454319436255,FAIL
4.542,19.5370940550537,50.6918207700457,212.432432432432,73.2636986202725,0.0675698709970787,0.00487868281409498,FAIL
4.543,19.53726328363,50.6920403135985,212.432432432432,73.2629797762028,0.0676790538672549,0.00498281106689946,FAIL
4.544,19.5374325106582,50.6922598541922,212.432432432432,73.2622609140278,0.0677882271506598,0.00508692795335008,FAIL
4.545,19.5376017361388,50.6924793918274,212.432432432432,73.2615420337801,0.0678973908477127,0.00519103347402206,FAIL
4.546,19.5377709600724,50.6926989265048,212.432432432432,73.2608231354923,0.0680065449588312,0.00529512762948992,FAIL
4.547,19.5379401824593,50.692918458225,212.432432432432,73.2601042191968,0.0681156894844329,0.00539921042032732,FAIL
4.548,19.5381094033,50.6931379869887,212.432432432432,73.259385284926,0.0682248244249368,0.00550328184710791,FAIL
4.549,19.5382786225951,50.6933575127965,212.432432432432,73.2586663327125,0.0683339497807609,0.00560734191040635,FAIL
4.55,19.5384478403449,50.6935770356492,212.432432432432,73.2579473625886,0.0684430655523232,0.00571139061079629,FAIL
4.551,19.53861705655,50.6937965555472,212.432432432432,73.2572283745867,0.068552171740042,0.00581542794885248,FAIL
4.552,19.5387862712108,50.6940160724913,212.432432432432,73.256509368739,0.0686612683443348,0.00591945392514759,FAIL
4.553,19.5389554843279,50.6942355864821,212.432432432432,73.2557903450778,0.0687703553656197,0.00602346854025559,FAIL
4.554,19.5391246959015,50.6944550975203,212.432432432432,73.2550713036353,0.0688794328043146,0.00612747179475071,FAIL
4.555,19.5392939059323,50.6946746056066,212.432432432432,73.2543522444437,0.0689885006608363,0.00623146368920502,FAIL
4.556,19.5394631144207,50.6948941107415,212.432432432432,73.253633167535,0.0690975589356039,0.00633544422419308,FAIL
4.557,19.5396323213672,50.6951136129257,212.432432432432,73.2529140729414,0.0692066076290333,0.00643941340028764,FAIL
4.558,19.5398015267722,50.6953331121598,212.432432432432,73.252194960695,0.0693156467415436,0.00654337121806192,FAIL
4.559,19.5399707306362,50.6955526084446,212.432432432432,73.2514758308276,0.0694246762735514,0.00664731767808946,FAIL
4.56,19.5401399329597,50.6957721017806,212.432432432432,73.2507566833712,0.0695336962254741,0.00675125278094302,FAIL
4.561,19.5403091337431,50.6959915921685,212.432432432432,73.2500375183578,0.0696427065977286,0.00685517652719492,FAIL
4.562,19.5404783329869,50.6962110796089,212.162162162162,73.2493183358193,0.0697517073907331,0.00695908891741892,FAIL
4.563,19.5406475306916,50.6964305641025,212.162162162162,73.2485991357873,0.0698606986049044,0.00706298995218724,FAIL
4.564,19.5408167268577,50.69665004565,212.162162162162,73.2478799182938,0.0699696802406587,0.0071668796320723,FAIL
4.565,19.5409859214856,50.6968695242519,212.162162162162,73.2471606833705,0.0700786522984146,0.00727075795764709,FAIL
4.566,19.5411551145757,50.6970889999089,212.162162162162,73.2464414310489,0.0701876147785876,0.00737462492948404,FAIL
4.567,19.5413243061286,50.6973084726217,212.162162162162,73.2457221613609,0.0702965676815952,0.00747848054815481,FAIL
4.568,19.5414934961447,50.6975279423909,212.162162162162,73.245002874338,0.0704055110078546,0.00758232481423293,FAIL
4.569,19.5416626846245,50.6977474092172,212.162162162162,73.2442835700117,0.070514444757781,0.00768615772828896,FAIL
4.57,19.5418318715684,50.6979668731011,212.162162162162,73.2435642484136,0.0706233689317929,0.00778997929089598,FAIL
4.571,19.5420010569769,50.6981863340434,212.162162162162,73.2428449095752,0.0707322835303057,0.00789378950262576,FAIL
4.572,19.5421702408506,50.6984057920447,212.162162162162,73.2421255535279,0.0708411885537369,0.00799758836405051,FAIL
4.573,19.5423394231897,50.6986252471055,212.162162162162,73.2414061803032,0.0709500840025025,0.00810137587574222,FAIL
4.574,19.5425086039949,50.6988446992266,212.162162162162,73.2406867899323,0.0710589698770183,0.00820515203827099,FAIL
4.575,19.5426777832665,50.6990641484087,212.162162162162,73.2399673824465,0.0711678461777013,0.00830891685221047,FAIL
4.576,19.5428469610051,50.6992835946522,212.162162162162,73.2392479578772,0.0712767129049673,0.00841267031813053,FAIL
4.577,19.543016137211,50.699503037958,212.162162162162,73.2385285162557,0.071385570059233,0.00851641243660339,FAIL
4.578,19.5431853118849,50.6997224783265,212.162162162162,73.2378090576129,0.071494417640914,0.00862014320820037,FAIL
4.579,19.543354485027,50.6999419157586,212.162162162162,73.2370895819802,0.0716032556504261,0.00872386263349234,FAIL
4.58,19.543523656638,50.7001613502547,212.162162162162,73.2363700893887,0.0717120840881866,0.00882757071305107,FAIL
4.581,19.5436928267182,50.7003807818156,212.162162162162,73.2356505798693,0.0718209029546105,0.00893126744744699,FAIL
4.582,19.5438619952681,50.7006002104418,212.162162162162,73.2349310534531,0.0719297122501136,0.00903495283725131,FAIL
4.583,19.5440311622883,50.7008196361341,212.162162162162,73.2342115101711,0.0720385119751115,0.00913862688303491,FAIL
4.584,19.544200327779,50.701039058893,212.162162162162,73.2334919500542,0.0721473021300201,0.00924228958536844,FAIL
4.585,19.5443694917409,50.7012584787193,212.162162162162,73.2327723731334,0.0722560827152552,0.00934594094482277,FAIL
4.586,19.5445386541743,50.7014778956134,212.162162162162,73.2320527794395,0.0723648537312321,0.00944958096196846,FAIL
4.587,19.5447078150798,50.7016973095762,212.162162162162,73.2313331690032,0.0724736151783663,0.0095532096373756,FAIL
4.588,19.5448769744578,50.7019167206081,212.162162162162,73.2306135418554,0.0725823670570738,0.00965682697161518,FAIL
4.589,19.5450461323088,50.7021361287099,212.162162162162,73.2298938980269,0.0726911093677693,0.00976043296525697,FAIL
4.59,19.5452152886331,50.7023555338822,212.162162162162,73.2291742375483,0.0727998421108678,0.0098640276188714,FAIL
4.591,19.5453844434314,50.7025749361256,212.162162162162,73.2284545604502,0.0729085652867851,0.00996761093302856,FAIL
4.592,19.545553596704,50.7027943354408,212.162162162162,73.2277348667633,0.0730172788959358,0.0100711829082984,FAIL
4.593,19.5457227484514,50.7030137318284,212.162162162162,73.2270151565181,0.0731259829387358,0.0101747435452512,FAIL
4.594,19.545891898674,50.703233125289,212.162162162162,73.2262954297452,0.0732346774156002,0.010278292844457,FAIL
4.595,19.5460610473724,50.7034525158232,212.162162162162,73.225575686475,0.0733433623269426,0.0103818308064844,FAIL
4.596,19.546230194547,50.7036719034318,212.162162162162,73.2248559267381,0.0734520376731789,0.0104853574319044,FAIL
4.597,19.5463993401982,50.7038912881153,212.162162162162,73.2241361505648,0.0735607034547237,0.0105888727212858,FAIL
4.598,19.5465684843266,50.7041106698744,212.162162162162,73.2234163579855,0.0736693596719918,0.0106923766751978,FAIL
4.599,19.5467376269325,50.7043300487097,212.162162162162,73.2226965490305,0.0737780063253978,0.0107958692942111,FAIL
4.6,19.5469067680164,50.7045494246218,212.162162162162,73.2219767237301,0.0738866434153562,0.0108993505788935,FAIL
4.601,19.5470759075788,50.7047687976114,212.162162162162,73.2212568821145,0.0739952709422818,0.0110028205298153,FAIL
4.602,19.5472450456202,50.7049881676791,212.162162162162,73.220537024214,0.074103888906588,0.0111062791475446,FAIL
4.603,19.547414182141,50.7052075348256,212.162162162162,73.2198171500588,0.0742124973086907,0.0112097264326511,FAIL
4.604,19.5475833171416,50.7054268990514,212.162162162162,73.2190972596788,0.0743210961490035,0.0113131623857039,FAIL
4.605,19.5477524506226,50.7056462603572,212.162162162162,73.2183773531044,0.0744296854279407,0.0114165870072711,FAIL
4.606,19.5479215825844,50.7058656187437,212.162162162162,73.2176574303654,0.0745382651459161,0.0115200002979218,FAIL
4.607,19.5480907130274,50.7060849742115,212.162162162162,73.2169374914919,0.0746468353033444,0.0116234022582248,FAIL
4.608,19.548259841952,50.7063043267611,212.162162162162,73.216217536514,0.0747553959006392,0.0117267928887486,FAIL
4.609,19.5484289693589,50.7065236763933,212.162162162162,73.2154975654614,0.0748639469382153,0.0118301721900619,FAIL
4.61,19.5485980952484,50.7067430231087,212.162162162162,73.214777578364,0.0749724884164858,0.0119335401627326,FAIL
4.611,19.5487672196209,50.7069623669079,212.162162162162,73.2140575752519,0.0750810203358647,0.0120368968073291,FAIL
4.612,19.548936342477,50.7071817077914,212.162162162162,73.2133375561546,0.0751895426967659,0.0121402421244199,FAIL
4.613,19.549105463817,50.7074010457601,212.162162162162,73.2126175211021,0.0752980554996027,0.0122435761145723,FAIL
4.614,19.5492745836415,50.7076203808144,212.162162162162,73.2118974701241,0.0754065587447893,0.0123468987783553,FAIL
4.615,19.5494437019509,50.7078397129551,212.162162162162,73.2111774032501,0.0755150524327391,0.0124502101163364,FAIL
4.616,19.5496128187457,50.7080590421827,212.162162162162,73.21045732051,0.0756235365638652,0.0125535101290831,FAIL
4.617,19.5497819340262,50.7082783684979,212.162162162162,73.2097372219333,0.0757320111385814,0.0126567988171633,FAIL
4.618,19.5499510477931,50.7084976919013,212.162162162162,73.2090171075495,0.0758404761573012,0.0127600761811453,FAIL
4.619,19.5501201600466,50.7087170123936,212.162162162162,73.2082969773883,0.0759489316204378,0.0128633422215962,FAIL
4.62,19.5502892707874,50.7089363299753,212.162162162162,73.2075768314791,0.0760573775284046,0.0129665969390835,FAIL
4.621,19.5504583800157,50.7091556446471,212.162162162162,73.2068566698513,0.0761658138816144,0.0130698403341741,FAIL
4.622,19.5506274877322,50.7093749564096,212.162162162162,73.2061364925345,0.0762742406804806,0.0131730724074361,FAIL
4.623,19.5507965939372,50.7095942652635,212.162162162162,73.2054162995579,0.0763826579254152,0.0132762931594355,FAIL
4.624,19.5509656986312,50.7098135712094,212.162162162162,73.204696090951,0.0764910656168326,0.0133795025907407,FAIL
4.625,19.5511348018147,50.7100328742478,212.162162162162,73.2039758667429,0.0765994637551453,0.0134827007019183,FAIL
4.626,19.551303903488,50.7102521743795,212.162162162162,73.203255626963,0.0767078523407656,0.013585887493535,FAIL
4.627,19.5514730036518,50.7104714716051,212.162162162162,73.2025353716406,0.0768162313741068,0.0136890629661571,FAIL
